x/c,y/c
1.0,0.01503
0.98339,0.01997
0.96457,0.02543
0.94365,0.03137
0.92072,0.03783
0.89589,0.04489
0.86929,0.05251
0.84103,0.06063
0.81126,0.0692
0.78011,0.07815
0.74774,0.0874
0.71431,0.09687
0.67996,0.10647
0.64487,0.11611
0.60921,0.12568
0.57314,0.13505
0.53685,0.14408
0.50049,0.15262
0.46426,0.16048
0.42831,0.16749
0.39283,0.17347
0.35799,0.17825
0.32394,0.18171
0.29086,0.1837
0.25891,0.18414
0.22823,0.18291
0.19897,0.17994
0.17128,0.17512
0.14528,0.16844
0.12111,0.15996
0.09887,0.14982
0.07868,0.13804
0.06063,0.12474
0.04481,0.11001
0.03126,0.09405
0.02014,0.07716
0.01141,0.0595
0.00515,0.0414
0.00138,0.01755
0.00012,0.00612
0.00138,-0.01459
0.00515,-0.03624
0.01141,-0.0533
0.02014,-0.07006
0.03126,-0.08587
0.04481,-0.10064
0.06063,-0.1144
0.07868,-0.12695
0.09887,-0.13821
0.12111,-0.14818
0.14528,-0.15683
0.17128,-0.16402
0.19897,-0.1697
0.22823,-0.17375
0.25891,-0.17603
0.29086,-0.17643
0.32394,-0.17488
0.35799,-0.17134
0.39283,-0.16578
0.42831,-0.15816
0.46426,-0.14848
0.50049,-0.13705
0.53685,-0.12416
0.57314,-0.11009
0.60921,-0.09522
0.64487,-0.08
0.67996,-0.065
0.71431,-0.05083
0.74774,-0.03807
0.78011,-0.02713
0.81126,-0.01816
0.84103,-0.0112
0.86929,-0.00636
0.89589,-0.00361
0.92072,-0.00273
0.94365,-0.00342
0.96457,-0.00555
0.98339,-0.00928
1.0,-0.01393
