Alpha,Cl,Cd,Cm
-90.0,0.0,1.3,0.25
-85.0,-0.1736,1.29,0.249
-80.0,-0.342,1.261,0.2462
-75.0,-0.5,1.213,0.2415
-70.0,-0.6428,1.148,0.2349
-65.0,-0.766,1.068,0.2266
-60.0,-0.866,0.975,0.2165
-55.0,-0.9397,0.8723,0.2048
-50.0,-0.9848,0.7629,0.1915
-45.0,-1.0,0.65,0.1768
-40.0,-0.9716,0.5352,0.1416
-39.0,-0.9639,0.5136,0.1346
-38.0,-0.9462,0.4851,0.1276
-37.0,-0.9285,0.4635,0.1205
-36.0,-0.9108,0.4349,0.1135
-35.0,-0.8931,0.4064,0.0965
-34.0,-0.8854,0.3778,0.0794
-33.0,-0.8677,0.3523,0.0624
-32.0,-0.8564,0.3315,0.0447
-30.0,-0.8378,0.2777,0.0327
-28.0,-0.8191,0.2338,0.0208
-26.0,-0.7924,0.2045,0.0102
-24.0,-0.7756,0.1751,-0.0004
-22.0,-0.7441,0.1513,-0.0089
-20.0,-0.7126,0.1274,-0.0174
-18.0,-0.6678,0.1085,-0.0229
-16.0,-0.6231,0.0896,-0.0285
-14.0,-0.5742,0.0748,-0.03
-12.0,-0.5252,0.06,-0.0314
-10.0,-0.4827,0.0485,-0.0279
-8.0,-0.4402,0.037,-0.0244
-6.0,-0.2983,0.0294,-0.0359
-4.0,-0.1564,0.0219,-0.0474
-2.0,0.1744,0.0203,-0.0782
0.0,0.5053,0.0187,-0.109
2.0,0.8241,0.0188,-0.1329
4.0,1.121,0.0196,-0.151
6.0,1.39,0.0213,-0.163
8.0,1.625,0.024,-0.1691
10.0,1.811,0.0279,-0.1683
12.0,1.859,0.0365,-0.1585
14.0,1.816,0.076,-0.1558
16.0,1.779,0.1165,-0.167
18.0,1.756,0.1571,-0.1809
20.0,1.763,0.2063,-0.196
22.0,1.8,0.3057,-0.2143
24.0,1.849,0.4153,-0.2365
26.0,1.877,0.5163,-0.2588
28.0,1.883,0.6069,-0.2797
30.0,1.869,0.6892,-0.2983
32.0,1.844,0.7625,-0.3147
33.0,1.835,0.7954,-0.3166
34.0,1.83,0.8232,-0.3106
35.0,1.814,0.8446,-0.3047
36.0,1.785,0.8684,-0.2987
37.0,1.767,0.8912,-0.2926
38.0,1.727,0.9066,-0.2865
39.0,1.686,0.9255,-0.2844
40.0,1.646,0.9385,-0.2803
45.0,1.447,1.029,-0.2633
50.0,1.136,1.071,-0.2544
55.0,0.9808,1.086,-0.2454
60.0,0.866,1.1,-0.2365
65.0,0.766,1.128,-0.2366
70.0,0.6428,1.163,-0.2389
75.0,0.5,1.213,-0.2415
80.0,0.342,1.261,-0.2462
85.0,0.1736,1.29,-0.249
90.0,0.0,1.3,-0.25
