x/c,y/c
1.0,0.00937
0.98338,0.01333
0.96457,0.01775
0.943639,0.02266
0.920709,0.02812
0.895879,0.03417
0.869269,0.04074
0.841008,0.0478
0.811238,0.055281
0.780088,0.063091
0.747717,0.071161
0.714277,0.079391
0.679927,0.087661
0.644836,0.095871
0.609166,0.103911
0.573096,0.111691
0.536795,0.119091
0.500435,0.126011
0.464195,0.132291
0.428244,0.137761
0.392764,0.142301
0.357914,0.145781
0.323863,0.148071
0.290783,0.149081
0.258823,0.148661
0.228132,0.146731
0.198882,0.143251
0.171182,0.138141
0.145181,0.131461
0.121011,0.123321
0.098771,0.113851
0.078581,0.103231
0.060521,0.091671
0.0447,0.079381
0.03118,0.066551
0.02003,0.053391
0.0113,0.04001
0.00503,0.02667
0.00126,0.01326
0.0,-0.00119
0.00126,-0.01256
0.00503,-0.02502
0.0113,-0.03764
0.02003,-0.050351
0.03118,-0.063121
0.0447,-0.075821
0.060521,-0.088251
0.078581,-0.100181
0.098771,-0.111361
0.121011,-0.121551
0.145181,-0.130521
0.171182,-0.138101
0.198882,-0.144111
0.228132,-0.148471
0.258823,-0.151082
0.290783,-0.151882
0.323863,-0.150802
0.357914,-0.147801
0.392764,-0.142831
0.428244,-0.135911
0.464195,-0.127101
0.500435,-0.116521
0.536795,-0.104421
0.573096,-0.091161
0.609166,-0.077221
0.644836,-0.063181
0.679927,-0.04966
0.714277,-0.03722
0.747717,-0.02631
0.780088,-0.01715
0.811238,-0.01002
0.841008,-0.00479
0.869269,-0.00134
0.895879,0.0004
0.920709,0.00058
0.943639,-0.00051
0.96457,-0.00261
0.98338,-0.00558
1.0,-0.00891
