x/c,y/c
1.0,0.0
0.99,0.003385
0.98,0.006126
0.975,0.007447
0.97,0.008767
0.965,0.010062
0.96,0.011357
0.955,0.012639
0.95,0.013921
0.945,0.0152
0.94,0.016478
0.935,0.017757
0.93,0.019036
0.925,0.020317
0.92,0.021598
0.915,0.022881
0.91,0.024163
0.905,0.025448
0.9,0.026733
0.8875,0.029951
0.875,0.033169
0.8625,0.036386
0.85,0.039603
0.8375,0.042804
0.825,0.046004
0.8125,0.049171
0.8,0.052337
0.7875,0.055452
0.775,0.058566
0.7625,0.061611
0.75,0.064656
0.7375,0.067615
0.725,0.070573
0.7125,0.073429
0.7,0.076285
0.6875,0.079029
0.675,0.081773
0.6625,0.084393
0.65,0.087012
0.6375,0.08949
0.625,0.091967
0.6125,0.094283
0.6,0.096599
0.5875,0.098743
0.575,0.100887
0.5625,0.102843
0.55,0.104799
0.5375,0.106549
0.525,0.108299
0.5125,0.10983
0.5,0.11136
0.4875,0.112649
0.475,0.113937
0.4625,0.114964
0.45,0.11599
0.445,0.11632
0.44,0.11665
0.435,0.116931
0.43,0.117211
0.425,0.117439
0.42,0.117667
0.415,0.117835
0.41,0.118003
0.405,0.118104
0.4,0.118204
0.395,0.118231
0.39,0.118258
0.385,0.118213
0.38,0.118168
0.375,0.118057
0.37,0.117946
0.365,0.117777
0.36,0.117607
0.355,0.117383
0.35,0.117159
0.345,0.116881
0.34,0.116603
0.335,0.116273
0.33,0.115942
0.325,0.115562
0.32,0.115181
0.315,0.11475
0.31,0.114319
0.305,0.113838
0.3,0.113356
0.295,0.112824
0.29,0.112292
0.285,0.11171
0.28,0.111127
0.275,0.110495
0.27,0.109863
0.265,0.10918
0.26,0.108497
0.255,0.107762
0.25,0.107027
0.245,0.106241
0.24,0.105454
0.235,0.104614
0.23,0.103774
0.225,0.10288
0.22,0.101985
0.215,0.101035
0.21,0.100084
0.205,0.099076
0.2,0.098068
0.195,0.097001
0.19,0.095934
0.185,0.094805
0.18,0.093676
0.175,0.092484
0.17,0.091291
0.165,0.090032
0.16,0.088772
0.155,0.087441
0.15,0.08611
0.145,0.084704
0.14,0.083298
0.135,0.081814
0.13,0.080329
0.125,0.078759
0.12,0.077188
0.115,0.075525
0.11,0.073862
0.105,0.072098
0.1,0.070334
0.0975,0.069412
0.095,0.068489
0.0925,0.067537
0.09,0.066584
0.0875,0.065601
0.085,0.064617
0.0825,0.0636
0.08,0.062583
0.0775,0.061531
0.075,0.060478
0.0725,0.059388
0.07,0.058297
0.0675,0.057165
