Alpha,Cl,Cd,Cm
-90.0,0.0,1.3,0.25
-85.0,-0.1736,1.29,0.249
-80.0,-0.342,1.261,0.2462
-75.0,-0.5,1.213,0.2415
-70.0,-0.6428,1.148,0.2349
-65.0,-0.766,1.068,0.2266
-60.0,-0.866,0.975,0.2165
-55.0,-0.9397,0.8723,0.1978
-50.0,-0.9848,0.7629,0.1775
-45.0,-1.0,0.65,0.1558
-40.0,-0.9816,0.5352,0.1246
-39.0,-0.9539,0.5136,0.1106
-38.0,-0.9262,0.4851,0.0966
-37.0,-0.8885,0.4565,0.0825
-36.0,-0.8508,0.4279,0.0655
-35.0,-0.8231,0.3924,0.0585
-34.0,-0.7854,0.3638,0.0484
-33.0,-0.7477,0.3383,0.0384
-32.0,-0.7011,0.3123,0.0305
-30.0,-0.6208,0.2663,0.02
-28.0,-0.5406,0.2402,0.0094
-26.0,-0.4694,0.2169,-0.0006
-24.0,-0.3881,0.1936,-0.0106
-22.0,-0.3161,0.1732,-0.0197
-20.0,-0.2442,0.1529,-0.0289
-18.0,-0.1641,0.1355,-0.0368
-16.0,-0.0841,0.118,-0.0448
-14.0,0.0021,0.1035,-0.051
-12.0,0.0883,0.089,-0.0572
-10.0,0.1722,0.0773,-0.0604
-8.0,0.2561,0.0656,-0.0636
-6.0,0.3179,0.0563,-0.0605
-4.0,0.3798,0.047,-0.0574
-2.0,0.3573,0.0405,-0.0351
0.0,0.3348,0.0341,-0.0128
2.0,0.5652,0.0316,-0.0494
4.0,0.8769,0.0343,-0.0894
6.0,1.042,0.0451,-0.1117
8.0,0.9487,0.07,-0.1208
10.0,0.9088,0.0886,-0.1376
12.0,0.9761,0.0993,-0.1594
14.0,1.113,0.107,-0.1823
16.0,1.306,0.1163,-0.2066
18.0,1.541,0.1317,-0.2315
20.0,1.805,0.157,-0.2566
22.0,2.002,0.2757,-0.2806
24.0,2.122,0.4224,-0.3057
26.0,2.192,0.561,-0.3294
28.0,2.229,0.6861,-0.352
30.0,2.232,0.7958,-0.371
32.0,2.219,0.8915,-0.3878
33.0,2.209,0.9229,-0.3845
34.0,2.193,0.9472,-0.3806
35.0,2.163,0.9664,-0.3747
36.0,2.131,0.9889,-0.3687
37.0,2.088,1.007,-0.3626
38.0,2.043,1.028,-0.3565
39.0,1.998,1.052,-0.3504
40.0,1.942,1.077,-0.3443
45.0,1.653,1.17,-0.3233
50.0,1.302,1.196,-0.3044
55.0,1.031,1.196,-0.2954
60.0,0.866,1.19,-0.2865
65.0,0.766,1.193,-0.2766
70.0,0.6428,1.203,-0.2649
75.0,0.5,1.213,-0.2515
80.0,0.342,1.261,-0.2462
85.0,0.1736,1.29,-0.249
90.0,0.0,1.3,-0.25
