alpha,cl,cd,cm
-10.0,-0.674279372963998,0.09935117364274235,-0.03798578859804067
-9.5,-0.6751821134355259,0.09339156986160796,-0.03546279458162041
-9.0,-0.6598176311213905,0.08848669414036418,-0.0336385995614411
-8.5,-0.6342322039080287,0.08451864944568223,-0.03199767887595099
-8.0,-0.6026009067454385,0.081215109569555,-0.03047461011924161
-7.5,-0.5651479500321274,0.07847918917296036,-0.02954922095692647
-7.0,-0.5242199294113095,0.07624189149243546,-0.02896818534733079
-6.5,-0.4817323856969607,0.07418758357007516,-0.028746939346872228
-6.0,-0.4341601758250075,0.07225579686113637,-0.029517052771615603
-5.5,-0.3841567505074386,0.07048741392109446,-0.03044782615253157
-5.0,-0.3361609323211294,0.06897708453713496,-0.03074257192677022
-4.5,-0.29389568603677113,0.06768837376356865,-0.029920682312242868
-4.0,-0.2538709265072406,0.06658760684908971,-0.02869786782272564
-3.5,-0.21825683167035886,0.06563686321247716,-0.026594224617198958
-3.0,-0.189202105404127,0.0647657418106966,-0.023288682210152175
-2.5,-0.1747262149159078,0.06413520990843889,-0.017372231793529768
-2.0,-0.07231256544372631,0.06465061990163731,-0.024960923989089872
-1.5,-0.01633568932340799,0.06649416341163064,-0.026540228251173508
-1.0,0.04896017943431127,0.06698933996320969,-0.03045536178045697
-0.5,0.1184453886994347,0.06682281129583625,-0.0351591913409183
0.0,0.17926310629898753,0.06617907306199641,-0.03815060450676461
0.5,0.22586338932660793,0.06597115076920151,-0.038479168457097396
1.0,0.26035687664429336,0.06661450466876201,-0.036577001098382744
1.5,0.2915738361031118,0.06767303415128531,-0.034137142654655485
2.0,0.32339628549431604,0.06884091805282753,-0.031883105962809924
2.5,0.35646571895559265,0.07005530919960998,-0.029858053468704734
3.0,0.38990721883555013,0.0713693880326674,-0.027959027300507366
3.5,0.4242180952791557,0.07271643498079558,-0.026194760763111564
4.0,0.459374029574872,0.07403341409017378,-0.024470022289939213
4.5,0.4903042109679385,0.07549487261445555,-0.022054862151516544
5.0,0.5177074308879582,0.07706687581484274,-0.019089761484717232
5.5,0.5356113380561479,0.07919012808652603,-0.015160251551036076
6.0,0.5377814134205412,0.08272494492980866,-0.010518123474093932
6.5,0.5461677382253997,0.08641331515674741,-0.007364678265038968
7.0,0.5673217841183186,0.08920676941711482,-0.005223854163239311
7.5,0.5962036158604451,0.09129123112408982,-0.0034239224170826547
8.0,0.627111195577158,0.09325466551790039,-0.001770125859276471
8.5,0.6547651959298353,0.09557826284357783,-7.34586819020567e-5
9.0,0.6845769344998274,0.09755082101090258,0.0016785357228658794
9.5,0.7084378326204408,0.10058320228756013,0.003078395384631676
10.0,0.7330332718129459,0.1035028539364864,0.0044605884851900805
10.5,0.7560106636169678,0.1064864934045302,0.005888437519933421
11.0,0.7668105956633441,0.11105068950618728,0.006895549674129803
11.5,0.7459383386789411,0.12107208748591519,0.005392225597885419
12.0,0.7374630088085293,0.129966814524721,0.00330772885960219
12.5,0.7418112923127811,0.13688900020690653,0.0015939895409415445
13.0,0.751765673748553,0.14308989914803613,-0.0001336090393381041
13.5,0.7677237184094836,0.14808686969911267,-0.0015258955500281396
14.0,0.7763488204567829,0.15549040770816724,-0.0045518514166309485
14.5,0.7924536346200208,0.16108521794818587,-0.006848292609086265
15.0,0.7993873321044846,0.1691092873344677,-0.011054062317221766
