alpha,cl,cd,cm
-10.0,-0.4514184902588351,0.15075517946590172,-0.03340790902982975
-9.5,-0.44530915492364503,0.14532132923668264,-0.03310528402111315
-9.0,-0.43864472278702044,0.1400171131835848,-0.03238951767478613
-8.5,-0.4339195819272158,0.1346607568682401,-0.031417432702076885
-8.0,-0.4253364321977646,0.12961828894434535,-0.03000248991018608
-7.5,-0.4158300768796413,0.12486622158358843,-0.028097662361850694
-7.0,-0.41352803148990114,0.12018676826573793,-0.02521806331241575
-6.5,-0.38096249273822536,0.11685035053087614,-0.023101004405503656
-6.0,-0.3309142037771571,0.11369035734965573,-0.02355993527734179
-5.5,-0.2808847612013592,0.11010161565818907,-0.026712357449644324
-5.0,-0.24282014861927956,0.10909401239991552,-0.028632689112131404
-4.5,-0.18128730824069467,0.10730845327844064,-0.0365652158564898
-4.0,-0.169978117439115,0.10550946220816702,-0.033479664110564196
-3.5,-0.15469384092591557,0.1043116746574578,-0.03034229332412062
-3.0,-0.13692041007297387,0.10356854754260954,-0.027163605902957317
-2.5,-0.11760794205891488,0.10318933628756938,-0.02396173826451581
-2.0,-0.097347376335575,0.10311616968705899,-0.020754714586663215
-1.5,-0.07654243641991479,0.10331194573904577,-0.01756280408923348
-1.0,-0.05547887591194936,0.10375049526682639,-0.014399360392123193
-0.5,-0.03438794109986761,0.10441080998514127,-0.01126768987713129
0.0,0.005013985058904207,0.10720304948745414,-0.01158080164165926
0.5,0.042000247354587336,0.1080971115963129,-0.011909676885536206
1.0,0.07726790049930912,0.10903369195052592,-0.011954734087238347
1.5,0.11096799189315958,0.11000021290543759,-0.011721269041503835
2.0,0.1432332353275354,0.11100826447938794,-0.011254211368095172
2.5,0.17313241558984446,0.11197675261674205,-0.010387081202553073
3.0,0.20222304092850418,0.11311275174809246,-0.00943355798451844
3.5,0.23142959974372343,0.11453750934908719,-0.008579054886637717
4.0,0.2633847001143452,0.11648098931225272,-0.00828076414985135
4.5,0.29757761309202524,0.11888777444661607,-0.008446863569257395
5.0,0.3288489906497715,0.12139704182633862,-0.008297993642143703
5.5,0.35736563504007207,0.12402414344700304,-0.00791427776397422
6.0,0.38390140063789774,0.12679140909310654,-0.007451377266769823
6.5,0.4096015985401202,0.12975641509652122,-0.007077938774167612
7.0,0.43590074812949575,0.1329943275739369,-0.006969703516570596
7.5,0.46027549121965083,0.13630672091721752,-0.006781549309155582
8.0,0.4835433235803853,0.1396922297473237,-0.006581462514718937
8.5,0.5107961392581868,0.14337439661597642,-0.006770650242927748
9.0,0.5296684655249496,0.146464271718932,-0.006115310172201252
9.5,0.5499040850194277,0.14982416068897203,-0.005798585029019838
10.0,0.5677820485897582,0.15341930564030323,-0.005751518163578754
10.5,0.5872482445140482,0.15762543229087428,-0.006330407208133798
11.0,0.6060718738089645,0.1621150934713334,-0.007253106098527103
11.5,0.6244313157163187,0.16692877570110165,-0.008560805622272826
12.0,0.6432580793659853,0.17190840096687396,-0.010101874952533008
12.5,0.6628551470960488,0.1771711720379091,-0.011927356144744434
13.0,0.6833731469802632,0.18263209843628073,-0.013934681587675553
13.5,0.7047090611144928,0.18823397976262804,-0.016060689124823894
14.0,0.726479409860437,0.19404538415960507,-0.018359890153676044
14.5,0.7444541855670191,0.19947140583570633,-0.020832112538264027
15.0,0.7628793036341541,0.20521371516833786,-0.023654026470252453
