x/c,y/c
1.0,0.00347
0.9966,0.00455
0.99314,0.00565
0.98961,0.00678
0.98601,0.00795
0.98235,0.00914
0.97863,0.01035
0.97484,0.01158
0.97098,0.01283
0.96706,0.0141
0.96307,0.01539
0.95902,0.0167
0.9549,0.01803
0.95072,0.01937
0.94647,0.02074
0.94216,0.02212
0.93778,0.02352
0.93333,0.02495
0.92882,0.02639
0.92425,0.02786
0.91961,0.02936
0.9149,0.03087
0.91013,0.03242
0.90529,0.034
0.90039,0.0356
0.89542,0.03723
0.89039,0.03887
0.88529,0.04056
0.88013,0.04226
0.8749,0.04399
0.86961,0.04575
0.86425,0.04754
0.85882,0.04935
0.85333,0.05119
0.84778,0.05305
0.84216,0.05493
0.83647,0.05685
0.83072,0.05878
0.8249,0.06076
0.81902,0.06275
0.81307,0.06476
0.80706,0.0668
0.80098,0.06886
0.79484,0.07094
0.78863,0.07304
0.78235,0.07517
0.77601,0.0773
0.76961,0.07947
0.76314,0.08165
0.7566,0.08386
0.75,0.08608
0.74333,0.08832
0.73667,0.09056
0.73,0.09279
0.72333,0.09502
0.71667,0.09724
0.71,0.09946
0.70333,0.10166
0.69667,0.10386
0.69,0.10605
0.68333,0.10822
0.67667,0.1104
0.67,0.11256
0.66333,0.11471
0.65667,0.11685
0.65,0.11897
0.64333,0.12109
0.63667,0.12318
0.63,0.12527
0.62333,0.12733
0.61667,0.12938
0.61,0.13142
0.60333,0.13343
0.59667,0.13543
0.59,0.13742
0.58333,0.13938
0.57667,0.14131
0.57,0.14323
0.56333,0.14512
0.55667,0.14698
0.55,0.14882
0.54333,0.15064
0.53667,0.15242
0.53,0.15417
0.52333,0.15591
0.51667,0.15759
0.51,0.15925
0.50333,0.16088
0.49667,0.16246
0.49,0.16401
0.48333,0.16553
0.47667,0.16701
0.47,0.16844
0.46333,0.16985
0.45667,0.1712
0.45,0.17253
0.44333,0.17381
0.43667,0.17504
0.43,0.17624
0.42333,0.17739
0.41667,0.17849
0.41,0.17957
0.40333,0.18058
0.39667,0.18154
0.39,0.18246
0.38333,0.18333
0.37667,0.18415
0.37,0.18491
0.36333,0.18563
0.35667,0.18629
0.35,0.1869
0.34333,0.18746
0.33667,0.18797
0.33,0.18842
0.32333,0.18881
0.31667,0.18914
0.31,0.1894
0.30333,0.18961
0.29667,0.18973
0.29,0.18979
0.28333,0.18977
0.27667,0.18968
0.27,0.1895
0.26333,0.18924
0.25667,0.1889
0.25,0.18845
0.24342,0.18791
0.23693,0.18729
0.23053,0.18657
0.22421,0.18575
0.21798,0.18487
0.21184,0.18388
0.20579,0.18282
0.19982,0.18167
0.19395,0.18046
0.18816,0.17916
0.18245,0.17778
0.17684,0.17634
0.17131,0.17482
0.16587,0.17323
0.16052,0.17158
0.15526,0.16987
0.15008,0.16809
0.14499,0.16625
0.13999,0.16436
0.13508,0.1624
0.13026,0.16038
0.12552,0.15831
0.12087,0.15619
0.11631,0.15402
0.11183,0.15179
0.10745,0.14953
0.10315,0.14722
0.09893,0.14485
0.09481,0.14243
0.09077,0.13998
0.08683,0.13748
0.08297,0.13493
0.07919,0.13234
0.07551,0.12972
0.07191,0.12705
0.0684,0.12435
0.06498,0.12161
0.06164,0.11884
0.0584,0.11603
0.05524,0.11319
0.05217,0.11031
0.04918,0.1074
0.04629,0.10447
0.04348,0.1015
0.04076,0.09851
0.03812,0.09549
0.03558,0.09246
0.03312,0.0894
0.03075,0.08632
0.02847,0.08324
0.02627,0.08013
0.02417,0.07701
0.02215,0.07387
0.02022,0.0707
0.01837,0.06751
0.01662,0.06433
0.01495,0.06111
0.01337,0.0579
0.01187,0.05468
0.01047,0.05148
0.00915,0.04826
0.00792,0.04505
0.00678,0.04181
0.00572,0.03847
0.00476,0.03502
0.00388,0.03133
0.00309,0.02736
0.00238,0.02318
0.00177,0.0192
0.00124,0.01552
0.0008,0.01217
0.00044,0.00892
0.00018,0.00563
0.0,0.0
0.00018,-0.00567
0.00044,-0.00905
0.0008,-0.01247
0.00124,-0.01591
0.00177,-0.01956
0.00238,-0.02333
0.00309,-0.02716
0.00388,-0.03085
0.00476,-0.03442
0.00572,-0.03783
0.00678,-0.0412
0.00792,-0.04453
0.00915,-0.04785
0.01047,-0.05117
0.01187,-0.05447
0.01337,-0.05781
0.01495,-0.06113
0.01662,-0.06446
0.01837,-0.06775
0.02022,-0.07107
0.02215,-0.07437
0.02417,-0.07766
0.02627,-0.08092
0.02847,-0.08421
0.03075,-0.08748
0.03312,-0.09076
0.03558,-0.09406
0.03812,-0.09733
0.04076,-0.10064
0.04348,-0.10392
0.04629,-0.1072
0.04918,-0.11047
0.05217,-0.11374
0.05524,-0.11698
0.0584,-0.12023
0.06164,-0.12344
0.06498,-0.12665
0.0684,-0.12982
0.07191,-0.13299
0.07551,-0.13612
0.07919,-0.13922
0.08297,-0.1423
0.08683,-0.14535
0.09077,-0.14835
0.09481,-0.15135
0.09893,-0.15429
0.10315,-0.1572
0.10745,-0.16006
0.11183,-0.16289
0.11631,-0.16567
0.12087,-0.16842
0.12552,-0.17111
0.13026,-0.17376
0.13508,-0.17635
0.13999,-0.1789
0.14499,-0.18137
0.15008,-0.1838
0.15526,-0.18616
0.16052,-0.18847
0.16587,-0.1907
0.17131,-0.19287
0.17684,-0.19496
0.18245,-0.19698
0.18816,-0.19894
0.19395,-0.2008
0.19982,-0.20257
0.20579,-0.20425
0.21184,-0.20584
0.21798,-0.20733
0.22421,-0.2087
0.23053,-0.20996
0.23693,-0.2111
0.24342,-0.2121
0.25,-0.21297
0.25667,-0.2137
0.26333,-0.21429
0.27,-0.21472
0.27667,-0.21501
0.28333,-0.21515
0.29,-0.21516
0.29667,-0.21502
0.30333,-0.21476
0.31,-0.21437
0.31667,-0.21384
0.32333,-0.2132
0.33,-0.21243
0.33667,-0.21155
0.34333,-0.21057
0.35,-0.20948
0.35667,-0.20827
0.36333,-0.20697
0.37,-0.20556
0.37667,-0.20407
0.38333,-0.20248
0.39,-0.20081
0.39667,-0.19904
0.40333,-0.1972
0.41,-0.19527
0.41667,-0.19327
0.42333,-0.19119
0.43,-0.18905
0.43667,-0.18683
0.44333,-0.18454
0.45,-0.18219
0.45667,-0.17976
0.46333,-0.17727
0.47,-0.17473
0.47667,-0.17212
0.48333,-0.16945
0.49,-0.16673
0.49667,-0.16397
0.50333,-0.16115
