alpha,cl,cd,cm
-10.0,-0.33173982971584853,0.1364047256266437,-0.02415550016409032
-9.5,-0.3227337072597511,0.1308200489055139,-0.02510675472690054
-9.0,-0.312910962967137,0.12515689069643776,-0.0263295605148807
-8.5,-0.30594304341426454,0.11974134957525202,-0.02680023492664275
-8.0,-0.2994627578204068,0.11439731090701043,-0.027326636445303074
-7.5,-0.29353006977439594,0.10913615415657932,-0.0280051126468727
-7.0,-0.29179154484271064,0.10415378386684154,-0.02773222525216402
-6.5,-0.2807169468750556,0.09838227374018522,-0.02957519588328022
-6.0,-0.267859532671084,0.09243170513901437,-0.03138543002906753
-5.5,-0.2501810235334711,0.08628348230662278,-0.03395432510565181
-5.0,-0.22813264782576695,0.0800054548015217,-0.03684577826281013
-4.5,-0.20210945761854868,0.073695064943816,-0.03967724092234417
-4.0,-0.17134432337706298,0.06743517865992335,-0.04244969218747448
-3.5,-0.1319488727290406,0.06104384269033569,-0.045799590817643884
-3.0,-0.08106897671173316,0.05429949731772676,-0.05018791455439149
-2.5,-0.02528961331068807,0.04777596431209697,-0.05376864017451256
-2.0,0.03380269547471273,0.04206292284511091,-0.05620286071198657
-1.5,0.08983163273915758,0.036795666296147216,-0.05660514045248138
-1.0,0.2264297926911283,0.029454715333200474,-0.06913119699783933
-0.5,0.32071381185345277,0.02764866945240518,-0.07575938287645355
0.0,0.39019846950099035,0.027302482914628418,-0.07807199112141625
0.5,0.4537351108049991,0.02720765644429063,-0.0792577462087043
1.0,0.5160052392106397,0.02719644214681087,-0.08041927840774596
1.5,0.5762717881560472,0.027352008085011426,-0.08130227981846433
2.0,0.6350675482471712,0.02763951466083508,-0.08195894092445401
2.5,0.6924251606132338,0.02803117017640814,-0.08244273899738724
3.0,0.7472471070535203,0.02859030418682316,-0.08248510889855844
3.5,0.8005534851395214,0.029247307883806084,-0.08235192211981424
4.0,0.8929978747711753,0.0292861770533808,-0.09151466009292139
4.5,0.9408609746556799,0.030285828621927958,-0.09022487957616211
5.0,0.9881878085634845,0.03133217464670643,-0.08891812334509429
5.5,1.0345615260813288,0.032444919435786354,-0.08751601242104408
6.0,1.0793710776056515,0.03364960353844072,-0.08591573180432151
6.5,1.1232877811641955,0.03488545271340762,-0.08418435433860512
7.0,1.1642751613238926,0.036278601157070225,-0.08205979587212986
7.5,1.2040782342497207,0.03772032739331966,-0.07976337912339788
8.0,1.2394198215028487,0.039389816901907286,-0.07689713496792393
8.5,1.2735141706621735,0.04114335888898238,-0.07389300089255604
9.0,1.3031263148252081,0.04313858579666799,-0.07040016807899037
9.5,1.3278752066436346,0.045415651830982624,-0.06644358316127567
10.0,1.3493816700596952,0.04796622822827635,-0.06229500571609572
10.5,1.3629210711180542,0.05099899879581873,-0.05762371248182062
11.0,1.3722069289985528,0.05457167140199778,-0.053105385333220276
11.5,1.373654610574556,0.05896892789850431,-0.04875785211359416
12.0,1.365155806474937,0.06459035900417363,-0.045131058928072544
12.5,1.3475110187625046,0.0722772404479085,-0.043356372551434055
13.0,1.315791850100305,0.08327120179527413,-0.04479224798621979
13.5,1.2691648294850695,0.09887171721248911,-0.050484853878867544
14.0,1.1752553797698528,0.12650844802131117,-0.06301365073356169
14.5,1.1430374062584598,0.14138747222335935,-0.0690694768171908
15.0,1.119128044412871,0.15520169618828555,-0.07497142791670297
