alpha,cl,cd,cm
-10.0,-0.3737449920382152,0.12384434553804458,-0.025418621886745776
-9.5,-0.374423835938902,0.11774927130160388,-0.025646635626426908
-9.0,-0.3768824484786991,0.1117777400807731,-0.02554706152158341
-8.5,-0.3823792301320067,0.10593657843650642,-0.025122768811544474
-8.0,-0.39269932618298337,0.10032786138193207,-0.02411862155015212
-7.5,-0.39960621515712924,0.09496234866659015,-0.023547848474386703
-7.0,-0.3969624480238323,0.08793138839022736,-0.026142977921933538
-6.5,-0.39195973163575176,0.08015680773338954,-0.02875857594280193
-6.0,-0.3782700311967682,0.07318563573463226,-0.030139374859409984
-5.5,-0.3579281319989946,0.06645120191119905,-0.03154240951973349
-5.0,-0.33412305468481585,0.05903494898686934,-0.032289316623617045
-4.5,-0.30464175135814237,0.05365474933678857,-0.03105095646034779
-4.0,-0.26896958920616254,0.04880426515770569,-0.029777198700956006
-3.5,-0.2327337322622641,0.044053696852407856,-0.027319925436235404
-3.0,-0.196828986463114,0.04098242307425367,-0.02428644556712351
-2.5,-0.14298546256329395,0.03822652844361877,-0.024404130882855514
-2.0,-0.07235350079508109,0.035878525849981996,-0.02725924597321463
-1.5,0.0035818934864918824,0.034054265884063746,-0.031255504987487685
-1.0,0.08348357729057691,0.032587922669072455,-0.0358071113351387
-0.5,0.15955410296421618,0.03157067666772806,-0.0396075074545738
0.0,0.23816158867153056,0.03059781911886114,-0.0437968681201545
0.5,0.31763668658415145,0.029919895202486134,-0.04806429232314369
1.0,0.39398471058802953,0.029531196424062753,-0.051802941808643005
1.5,0.45605626572936286,0.029531689232514896,-0.05318397353346
2.0,0.5114992938545055,0.029712214778923125,-0.0535016909861083
2.5,0.5695329340490541,0.02998693090520496,-0.054109548105396
3.0,0.5927780090713166,0.028656225602045296,-0.04495607378913538
3.5,0.7207580226067444,0.030567949248035242,-0.06346661636536939
4.0,0.7657100155438823,0.03153122817687025,-0.061626883457402463
4.5,0.810046330102589,0.03253085104815649,-0.05977877480821856
5.0,0.8527389549952809,0.03362630071008393,-0.05773434611848645
5.5,0.8905204543231066,0.03490812511843469,-0.05500397075732328
6.0,0.9218681090754008,0.03660813255045732,-0.051388996944835584
6.5,0.9522567821824074,0.038534901585957744,-0.04796965284834631
7.0,0.9817831943345352,0.04060326488179378,-0.04463499480446588
7.5,1.0093583467131255,0.0427278701319088,-0.041087466852682025
8.0,1.0348855071612946,0.04499189638394345,-0.0374300555906637
8.5,1.0561937765628409,0.047620284502483234,-0.03360888723730289
9.0,1.0773142583607291,0.05037797223349671,-0.030044996377061386
9.5,1.095388692652955,0.05349968677776415,-0.02658106278572942
10.0,1.1061294281411393,0.05738283961406204,-0.02335614978382955
10.5,1.1129846280707187,0.06190831354266811,-0.020808332353309943
11.0,1.1183314159611835,0.06707006806288401,-0.01902442261070571
11.5,1.1182483084219896,0.0734122079466093,-0.018113290619331205
12.0,1.1026140429268285,0.08180156164139708,-0.019033770542920995
12.5,1.0549920222406415,0.09638726803450452,-0.023878866277017022
13.0,1.032842338633346,0.10867988713635535,-0.028068983807919518
13.5,1.0075064006509968,0.12227116063863423,-0.03316113923506408
14.0,0.9836203789032469,0.1361255700761247,-0.03859872639481346
14.5,0.9680792975821373,0.14816650969684275,-0.04335728704173143
15.0,0.9596697019519689,0.1587820791115426,-0.047666119427439216
