r/R,twist(deg)
0.03139013452914798,14.49106
0.061143497757847526,14.49106
0.09154708520179372,14.424209
0.10956278026905829,14.260414
0.12252242152466365,14.043888
0.13802690582959642,13.581343
0.1559641255605381,12.908756
0.17625560538116594,11.908994
0.1987556053811659,10.680366
0.22332959641255604,9.479599
0.2498542600896861,8.385097
0.2781390134529148,7.60694
0.30803811659192826,6.957972
0.3393609865470852,6.369216
0.37191704035874434,5.809149
0.40552690582959633,5.254826
0.43996636771300446,4.69118
0.47504484304932726,4.087893
0.5105381165919283,3.44539
0.5462556053811659,2.790276
0.5819618834080716,2.125135
0.6174551569506727,1.481714
0.6525112107623319,0.86834
0.6869282511210761,0.294717
0.7205044843049327,-0.221191
0.7530269058295964,-0.704843
0.7843049327354259,-1.120529
0.8141479820627803,-1.517145
0.8423878923766814,-1.876009
0.8688452914798205,-2.210462
0.8933632286995515,-2.520387
0.9157847533632287,-2.797971
0.9359977578475336,-3.032812
0.9538677130044843,-3.220965
0.9692825112107623,-3.369622
0.9821636771300447,-3.42796
0.9924215246636771,-3.42796
1.0,-3.42796
