r/R,z/R(distance of AC from hub center)
0.03139013452914798,0.0
0.061143497757847526,-8.496636771300448e-5
0.09154708520179372,-0.00022633408071748876
0.10956278026905829,-0.00031669282511210764
0.12252242152466365,-0.00038711883408071746
0.13802690582959642,-0.00047773542600896857
0.1559641255605381,-0.0005919282511210762
0.17625560538116594,-0.0007344618834080718
0.1987556053811659,-0.0009109641255605381
0.22332959641255604,-0.001128329596412556
0.2498542600896861,-0.0013946412556053811
0.2781390134529148,-0.001718609865470852
0.30803811659192826,-0.0021104372197309415
0.3393609865470852,-0.002580482062780269
0.37191704035874434,-0.0031394843049327354
0.40552690582959633,-0.0037984977578475335
0.43996636771300446,-0.004567208520179372
0.47504484304932726,-0.005455022421524664
0.5105381165919283,-0.0064689573991031386
0.5462556053811659,-0.0076148206278026905
0.5819618834080716,-0.008894338565022421
0.6174551569506727,-0.010307096412556054
0.6525112107623319,-0.011848228699551568
0.6869282511210761,-0.013510044843049327
0.7205044843049327,-0.015280952914798206
0.7530269058295964,-0.017142724215246638
0.7843049327354259,-0.019074843049327352
0.8141479820627803,-0.021054170403587442
0.8423878923766814,-0.023053094170403587
0.8688452914798205,-0.02503986547085202
0.8933632286995515,-0.026984304932735424
0.9157847533632287,-0.02884964125560538
0.9359977578475336,-0.030606244394618835
0.9538677130044843,-0.03221835201793721
0.9692825112107623,-0.033654865470852016
0.9821636771300447,-0.03488885650224215
0.9924215246636771,-0.0358929932735426
1.0,-0.0366475
