r/R,c/R
0.03139013452914798,0.06031390134529148
0.061143497757847526,0.06031390134529148
0.09154708520179372,0.06079536995515695
0.10956278026905829,0.06169474215246636
0.12252242152466365,0.06252254484304932
0.13802690582959642,0.06366441704035875
0.1559641255605381,0.06504645739910314
0.17625560538116594,0.06655846412556053
0.1987556053811659,0.06797857623318386
0.22332959641255604,0.06902604260089686
0.2498542600896861,0.06952099775784752
0.2781390134529148,0.0694155605381166
0.30803811659192826,0.06871023542600897
0.3393609865470852,0.0674202130044843
0.37191704035874434,0.06562993273542601
0.40552690582959633,0.06343040358744395
0.43996636771300446,0.060928363228699545
0.47504484304932726,0.058185325112107625
0.5105381165919283,0.05526202914798206
0.5462556053811659,0.05222384529147982
0.5819618834080716,0.049142701793721974
0.6174551569506727,0.0460857735426009
0.6525112107623319,0.04310457399103139
0.6869282511210761,0.0402315134529148
0.7205044843049327,0.03749569506726457
0.7530269058295964,0.03492530269058296
0.7843049327354259,0.032543026905829595
0.8141479820627803,0.03035310538116592
0.8423878923766814,0.028353822869955157
0.8688452914798205,0.026513026905829594
0.8933632286995515,0.024664910313901344
0.9157847533632287,0.022625986547085204
0.9359977578475336,0.020312634529147982
0.9538677130044843,0.01722306053811659
0.9692825112107623,0.012762331838565023
0.9821636771300447,0.012762331838565023
0.9924215246636771,0.012762331838565023
1.0,0.012762331838565023
