r/R,z/R(distance of AC from hub face)
0.0000000000000000e+00,-0.0000000000000000e+00
2.2222764227642276e-02,1.3257194308943090e-05
6.6666666666666666e-02,4.0389902439024388e-04
1.1111056910569106e-01,9.6698170731707319e-04
1.6666666666666666e-01,1.7738440650406505e-03
2.3333333333333334e-01,1.8818461788617886e-03
2.9999999999999999e-01,1.5986456747967481e-03
3.6666666666666670e-01,1.3526336097560976e-03
4.3333333333333329e-01,1.1046053983739836e-03
5.0000000000000000e-01,8.6818144715447153e-04
5.6666666666666665e-01,6.6502861788617887e-04
6.3333333333333341e-01,4.8329972357723575e-04
6.9999999999999996e-01,3.3351351219512194e-04
7.6666666666666661e-01,2.2731728455284553e-04
8.3333333333333337e-01,1.3629225528455284e-04
8.8888943089430894e-01,7.0807990243902435e-05
9.3333333333333335e-01,2.7379484552845530e-05
9.7777723577235764e-01,5.3358091056910570e-06
9.9999837398373981e-01,5.3358091056910570e-06
1.0000000000000000e+00,5.3358091056910570e-06
