r/R,y/R (y-distance of AC from front of hub)
0.023809523809523808,0.0
0.0455031746031746,-5.471247301587302e-5
0.08888888888888888,-0.001666892222222222
0.13227460317460318,-0.003990735714285714
0.1865079365079365,-0.007320658571428571
0.2515873015873016,-0.009045502380952381
0.31666666666666665,-0.008706481428571429
0.3817460317460318,-0.008326508095238095
0.4468253968253968,-0.00787693253968254
0.5119047619047619,-0.007388056349206349
0.576984126984127,-0.0069180188888888884
0.6420634920634921,-0.006443067142857143
0.7071428571428571,-0.005963341428571428
0.7722222222222223,-0.005479635714285715
0.8373015873015873,-0.004994259841269841
0.8915349206349206,-0.0045887650793650795
0.9349206349206349,-0.0041388025396825396
0.9783063492063492,-0.0028154714285714287
1.0,-0.0028154714285714287
