r/R,z/R(distance of AC from hub center)
0.023809523809523808,0.0
0.0455031746031746,-1.2941546825396826e-5
0.08888888888888888,-0.00039428238095238095
0.13227460317460318,-0.0009439583333333333
0.1865079365079365,-0.0017316096825396826
0.2515873015873016,-0.0018370403174603174
0.31666666666666665,-0.0015605826825396826
0.3817460317460318,-0.0013204280476190476
0.4468253968253968,-0.0010783052698412699
0.5119047619047619,-0.0008475104603174604
0.576984126984127,-0.0006491946031746032
0.6420634920634921,-0.0004717925873015873
0.7071428571428571,-0.0003255727142857143
0.7722222222222223,-0.00022190496825396825
0.8373015873015873,-0.00013304720158730158
0.8915349206349206,-6.912208571428572e-5
0.9349206349206349,-2.6727592063492065e-5
0.9783063492063492,-5.208766031746032e-6
1.0,-5.208766031746032e-6
