r/R,z/R(distance of AC from hub face)
0.1865079365079365,0.0024309135464474765
0.2515873015873016,0.0018370403153033267
0.31666666666666665,0.0015605826727853758
0.3817460317460318,0.0013204280472659492
0.4468253968253968,0.0010783052667584646
0.5119047619047619,0.0008475104735488343
0.576984126984127,0.0010691975457169929
0.6420634920634921,0.0007770235034547045
0.7071428571428571,0.0003255727219460278
0.7722222222222223,0.00022190498077456628
0.8373015873015873,0.0001330472016536183
0.8915349206349206,6.912208695983829e-5
0.9349206349206349,2.6727592881372415e-5
0.9783063492063492,5.208765887090037e-6
1.0,5.208765887090037e-6
