r/R,Contour file,Aero file
0.0,DU40_A17_coords.csv,DU40_A17.csv
0.07999999999999999,DU35_A17_coords.csv,DU35_A17.csv
0.15999999999999998,DU35_A17_coords.csv,DU35_A17.csv
0.24000000000000002,DU30_A17_coords.csv,DU30_A17.csv
0.31999999999999995,DU25_A17_coords.csv,DU25_A17.csv
0.4,DU25_A17_coords.csv,DU25_A17.csv
0.48000000000000004,DU21_A17_coords.csv,DU21_A17.csv
0.56,DU21_A17_coords.csv,DU21_A17.csv
0.6399999999999999,NACA64_A17_coords.csv,NACA64_A17.csv
0.72,NACA64_A17_coords.csv,NACA64_A17.csv
0.8,NACA64_A17_coords.csv,NACA64_A17.csv
0.8666673170731707,NACA64_A17_coords.csv,NACA64_A17.csv
0.9199999999999999,NACA64_A17_coords.csv,NACA64_A17.csv
0.9733326829268293,NACA64_A17_coords.csv,NACA64_A17.csv
1.0,NACA64_A17_coords.csv,NACA64_A17.csv
