r/R,y/R (y-distance of AC from front of hub)
0.03139013452914798,0.0
0.061143497757847526,0.0
0.09154708520179372,0.0
0.10956278026905829,0.0
0.12252242152466365,0.0
0.13802690582959642,0.0
0.1559641255605381,0.0
0.17625560538116594,0.0
0.1987556053811659,0.0
0.22332959641255604,0.0
0.2498542600896861,0.0
0.2781390134529148,0.0
0.30803811659192826,0.0
0.3393609865470852,0.0
0.37191704035874434,0.0
0.40552690582959633,0.0
0.43996636771300446,0.0
0.47504484304932726,0.0
0.5105381165919283,0.0
0.5462556053811659,0.0
0.5819618834080716,0.0
0.6174551569506727,0.0
0.6525112107623319,0.0
0.6869282511210761,0.0
0.7205044843049327,0.0
0.7530269058295964,0.0
0.7843049327354259,0.0
0.8141479820627803,0.0
0.8423878923766814,0.0
0.8688452914798205,0.0
0.8933632286995515,0.0
0.9157847533632287,0.0
0.9359977578475336,0.0
0.9538677130044843,0.0
0.9692825112107623,0.0
0.9821636771300447,0.0
0.9924215246636771,0.0
1.0,0.0
